日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/14 23:00:00	3.53779	3.53799	3.53747	3.53756	3.53506	3.53527	3.53504	3.53505
2016/12/14 22:45:00	3.53797	3.53816	3.53779	3.53779	3.53460	3.53513	3.53459	3.53506
2016/12/14 22:30:00	3.53787	3.53815	3.53778	3.53797	3.53458	3.53461	3.53458	3.53460
2016/12/14 22:15:00	3.53787	3.53818	3.53778	3.53787	3.53458	3.53471	3.53458	3.53458
2016/12/14 22:00:00	3.53767	3.53837	3.53766	3.53787	3.53537	3.53540	3.53458	3.53458
2016/12/14 21:45:00	3.53920	3.53923	3.53729	3.53767	3.53559	3.53560	3.53520	3.53537
2016/12/14 21:30:00	3.53933	3.53933	3.53892	3.53920	3.53579	3.53586	3.53556	3.53559
2016/12/14 21:15:00	3.53892	3.53933	3.53872	3.53933	3.53537	3.53595	3.53506	3.53579
2016/12/14 21:00:00	3.54159	3.54169	3.53670	3.53892	3.53485	3.53655	3.53452	3.53537
2016/12/14 20:45:00	3.54148	3.54182	3.54114	3.54159	3.53487	3.53515	3.53484	3.53485
2016/12/14 20:30:00	3.54069	3.54370	3.54017	3.54148	3.53481	3.53719	3.53469	3.53487
2016/12/14 20:15:00	3.53884	3.54075	3.53630	3.54069	3.53529	3.53534	3.53456	3.53481
2016/12/14 20:00:00	3.54289	3.54434	3.53824	3.53884	3.53896	3.54032	3.53487	3.53529
2016/12/14 19:45:00	3.54332	3.54460	3.54135	3.54289	3.54213	3.54360	3.53891	3.53896
2016/12/14 19:30:00	3.53977	3.54430	3.53959	3.54332	3.53718	3.54247	3.53417	3.54213
2016/12/14 19:15:00	3.53974	3.53979	3.53916	3.53977	3.53611	3.53749	3.52937	3.53718
2016/12/14 19:00:00	3.53969	3.53974	3.53881	3.53974	3.53435	3.53611	3.53100	3.53611
2016/12/14 18:45:00	3.53884	3.54029	3.53777	3.53969	3.53019	3.53913	3.53019	3.53435
2016/12/14 18:30:00	3.53751	3.53938	3.53687	3.53884	3.53012	3.53020	3.53011	3.53019
2016/12/14 18:15:00	3.53561	3.53816	3.53272	3.53751	3.52923	3.53262	3.52921	3.53012
2016/12/14 18:00:00	3.53584	3.53723	3.53370	3.53561	3.52911	3.52938	3.52905	3.52923
2016/12/14 17:45:00	3.53793	3.54035	3.53377	3.53584	3.52728	3.53960	3.52728	3.52911
