日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/01 09:00:00	1.43640	1.43724	1.43529	1.43691	1.43630	1.43722	1.43518	1.43684
2016/12/01 08:45:00	1.43592	1.43714	1.43566	1.43640	1.43588	1.43704	1.43561	1.43630
2016/12/01 08:30:00	1.43766	1.43809	1.43586	1.43592	1.43742	1.43795	1.43579	1.43588
2016/12/01 08:15:00	1.43765	1.43794	1.43673	1.43766	1.43758	1.43785	1.43665	1.43742
2016/12/01 08:00:00	1.43826	1.43860	1.43666	1.43765	1.43817	1.43856	1.43658	1.43758
2016/12/01 07:45:00	1.43796	1.43981	1.43784	1.43826	1.43788	1.43975	1.43777	1.43817
2016/12/01 07:30:00	1.43839	1.43899	1.43767	1.43796	1.43828	1.43889	1.43763	1.43788
2016/12/01 07:15:00	1.43913	1.43913	1.43823	1.43839	1.43908	1.43908	1.43816	1.43828
2016/12/01 07:00:00	1.43935	1.43970	1.43847	1.43913	1.43927	1.43961	1.43836	1.43908
2016/12/01 06:45:00	1.43899	1.43987	1.43882	1.43935	1.43891	1.43981	1.43873	1.43927
2016/12/01 06:30:00	1.43921	1.43945	1.43871	1.43899	1.43912	1.43938	1.43862	1.43891
2016/12/01 06:15:00	1.43815	1.43958	1.43815	1.43921	1.43807	1.43948	1.43806	1.43912
2016/12/01 06:00:00	1.43672	1.43832	1.43647	1.43815	1.43663	1.43822	1.43637	1.43807
2016/12/01 05:45:00	1.43864	1.43888	1.43668	1.43672	1.43857	1.43878	1.43659	1.43663
2016/12/01 05:30:00	1.43756	1.43866	1.43696	1.43864	1.43745	1.43858	1.43691	1.43857
2016/12/01 05:15:00	1.43716	1.43778	1.43651	1.43756	1.43706	1.43768	1.43642	1.43745
2016/12/01 05:00:00	1.43718	1.43788	1.43658	1.43716	1.43683	1.43778	1.43650	1.43706
2016/12/01 04:45:00	1.43621	1.43818	1.43567	1.43718	1.43611	1.43795	1.43559	1.43683
2016/12/01 04:30:00	1.43551	1.43643	1.43531	1.43621	1.43536	1.43635	1.43524	1.43611
2016/12/01 04:15:00	1.43402	1.43556	1.43375	1.43551	1.43398	1.43547	1.43367	1.43536
2016/12/01 04:00:00	1.43602	1.43674	1.43379	1.43402	1.43585	1.43663	1.43369	1.43398
2016/12/01 03:45:00	1.43487	1.43618	1.43404	1.43602	1.43484	1.43608	1.43397	1.43585
2016/12/01 03:30:00	1.43410	1.43503	1.43377	1.43487	1.43396	1.43504	1.43370	1.43484
2016/12/01 03:15:00	1.43447	1.43471	1.43398	1.43410	1.43436	1.43465	1.43389	1.43396
2016/12/01 03:00:00	1.43398	1.43505	1.43364	1.43447	1.43384	1.43498	1.43355	1.43436
2016/12/01 02:45:00	1.43286	1.43404	1.43253	1.43398	1.43280	1.43395	1.43245	1.43384
2016/12/01 02:30:00	1.43280	1.43380	1.43237	1.43286	1.43269	1.43372	1.43230	1.43280
2016/12/01 02:15:00	1.43347	1.43368	1.43238	1.43280	1.43339	1.43360	1.43228	1.43269
2016/12/01 02:00:00	1.43356	1.43359	1.43242	1.43347	1.43345	1.43349	1.43236	1.43339
2016/12/01 01:45:00	1.43247	1.43359	1.43221	1.43356	1.43236	1.43348	1.43213	1.43345
2016/12/01 01:30:00	1.43267	1.43311	1.43240	1.43247	1.43256	1.43303	1.43233	1.43236
2016/12/01 01:15:00	1.43232	1.43322	1.43218	1.43267	1.43227	1.43314	1.43212	1.43256
2016/12/01 01:00:00	1.43109	1.43245	1.43061	1.43232	1.43098	1.43236	1.43050	1.43227
2016/12/01 00:45:00	1.43175	1.43188	1.43091	1.43109	1.43167	1.43179	1.43082	1.43098
2016/12/01 00:30:00	1.43129	1.43188	1.43095	1.43175	1.43118	1.43179	1.43087	1.43167
2016/12/01 00:15:00	1.43131	1.43153	1.43069	1.43129	1.43122	1.43146	1.43059	1.43118
2016/12/01 00:00:00	1.43134	1.43166	1.43070	1.43131	1.43126	1.43155	1.43061	1.43122
2016/11/30 23:45:00	1.43149	1.43175	1.43120	1.43134	1.43145	1.43170	1.43113	1.43126
2016/11/30 23:30:00	1.43106	1.43149	1.43093	1.43149	1.43095	1.43145	1.43087	1.43145
2016/11/30 23:15:00	1.43163	1.43179	1.43102	1.43106	1.43156	1.43172	1.43093	1.43095
2016/11/30 23:00:00	1.43189	1.43235	1.43125	1.43163	1.43176	1.43222	1.43117	1.43156
2016/11/30 22:45:00	1.43183	1.43277	1.43183	1.43189	1.43176	1.43267	1.43175	1.43176
2016/11/30 22:30:00	1.43257	1.43269	1.43165	1.43183	1.43251	1.43265	1.43155	1.43176
2016/11/30 22:15:00	1.43271	1.43310	1.43256	1.43257	1.43261	1.43302	1.43247	1.43251
2016/11/30 22:00:00	1.43399	1.43432	1.43244	1.43271	1.43391	1.43422	1.43238	1.43261
2016/11/30 21:45:00	1.43196	1.43408	1.43196	1.43399	1.43191	1.43400	1.43191	1.43391
2016/11/30 21:30:00	1.43311	1.43315	1.43181	1.43196	1.43301	1.43304	1.43170	1.43191
2016/11/30 21:15:00	1.43305	1.43336	1.43261	1.43311	1.43301	1.43327	1.43252	1.43301
2016/11/30 21:00:00	1.43315	1.43383	1.43292	1.43305	1.43302	1.43375	1.43280	1.43301
2016/11/30 20:45:00	1.43330	1.43399	1.43246	1.43315	1.43314	1.43375	1.43242	1.43302
